status,p_code,name,end_date,title,partner_name,offices_names,number,longitude,start,url,CAS_CODE,latitude,total_budget,document_type,location_type,section_names
active,LBN56002,El Mina   ,12/31/2020,Empower and Secure Vulnerable Women and Girls Phase IV,THE LEBANESE COUNCIL TO RESIST VIOL AGAINST WOMEN,Tripoli,LEBA/PCA2017028/PD2020729,35.81109,12/05/2019,https://etools.unicef.org/pmp/interventions/729,LBN56002,34.45448,653185.00 USD,PD,Village,Child Protection
active,21177_09_001,Burj el Baraineh   ,12/31/2020,Support to Early Childhood Education Development Programme at Fraternity Association for Social and Cultural Work,THE FRATERNITY ASSOCIATION FOR EDUCATION AND SOCIAL WORK,Beirut,LEBA/PCA2019529/PD2019694-2,35.5103901295,07/01/2019,https://etools.unicef.org/pmp/interventions/694,21177,33.8226970071,197000.60 USD,PD,Palestinian Camps,Palestinian Programme
active,62111_09_001,El Buss   ,12/31/2020,Support to Early Childhood Education Development Programme at Fraternity Association for Social and Cultural Work,THE FRATERNITY ASSOCIATION FOR EDUCATION AND SOCIAL WORK,Beirut,LEBA/PCA2019529/PD2019694-2,35.2153525487,07/01/2019,https://etools.unicef.org/pmp/interventions/694,62111,33.2768514641,197000.60 USD,PD,Palestinian Camps,Palestinian Programme
active,37231_09_001,Beddawi   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,0,06/01/2019,https://etools.unicef.org/pmp/interventions/677,37231,0,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,21177_09_001,Burj el Baraineh   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.5103901295,06/01/2019,https://etools.unicef.org/pmp/interventions/677,21177,33.8226970071,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,62128_09_001,Burj el Shemali   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.2554193801,06/01/2019,https://etools.unicef.org/pmp/interventions/677,62128,33.2669648428,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,61119_09_001,Ein el Hilweh   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.3782216184,06/01/2019,https://etools.unicef.org/pmp/interventions/677,61119,33.5333832585,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,62111_09_001,El Buss   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.2153525487,06/01/2019,https://etools.unicef.org/pmp/interventions/677,62111,33.2768514641,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,61183_09_001,Mieh Mieh   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.4120442689,06/01/2019,https://etools.unicef.org/pmp/interventions/677,61183,33.5469123185,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,35277_09_001,Nahr el Bared   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.9542473732,06/01/2019,https://etools.unicef.org/pmp/interventions/677,35277,34.5017517583,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,62111_09_002,Rashidieh   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.2299223051,06/01/2019,https://etools.unicef.org/pmp/interventions/677,62111,33.2404270714,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,21111_09_001,Shatila   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,35.5161139627,06/01/2019,https://etools.unicef.org/pmp/interventions/677,21111,33.8575603539,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,53111_09_001,Wavell   ,12/31/2020,Improving access to Inclusive Education and Learning Support programs for all children living in Palestinian camps and gatherings of Lebanon,TERRE DES HOMMES ITALIA,Beirut,LEBA/PCA2017042/PD2019677-4,36.1810324128,06/01/2019,https://etools.unicef.org/pmp/interventions/677,53111,33.9864133857,1970350.53 USD,PD,Palestinian Camps,Palestinian Programme
active,LBN7,Akkar   ,12/31/2020,"Water, Sanitation and Hygiene Assistance for Vulnerable Families Affected by the Syrian Crisis in Akkar Governorate",SOLIDARITES INTERNATIONAL,"Beirut, Qubbayat, Tripoli",LEBA/PCA2017040/PD2019668-3,0,06/01/2019,https://etools.unicef.org/pmp/interventions/668,LBN7,0,6603870.00 USD,PD,Governorate,WASH
active,LBN2,Bekaa   ,12/31/2020,"Water, Sanitation and Hygiene Assistance for Vulnerable Families Affected by the Syrian Crisis in Bekaa Governorate",SOLIDARITES INTERNATIONAL,"Beirut, Zahle",LEBA/PCA2017040/PD2019669-3,0,06/01/2019,https://etools.unicef.org/pmp/interventions/669,LBN2,0,8711640.00 USD,PD,Governorate,WASH
ended,,Al Najda Al Shaabiya Bikfaya   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.6827940004,04/02/2019,https://etools.unicef.org/pmp/interventions/641,,33.9240219996,487696.00 USD,PD,Primary Health Care Center,Adolescent & Youth
ended,LBN7,Akkar   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN7,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,53111,Baalbek   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,53111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN1,Beirut   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN1,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,LBN2,Bekaa   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN2,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,22111,Borge Hammoud   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,22111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,21177,Borge el Baragenat   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,21177,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,34188,Chekka   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,34188,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN52026,Chekka   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.73127,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN52026,34.32868,487696.00 USD,PD,Village,Adolescent & Youth
ended,21111,Chiah   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,21111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN55037,Deir Amar   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.90692,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN55037,34.45786,487696.00 USD,PD,Village,Adolescent & Youth
ended,37241,Deir Omar   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,37241,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN36070,Dekouane   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.54903,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN36070,33.87615,487696.00 USD,PD,Village,Adolescent & Youth
ended,22262,Dekouanet   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,22262,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,53119,Douress   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,53119,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN21033,Douris   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,36.17845,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN21033,33.98777,487696.00 USD,PD,Village,Adolescent & Youth
ended,LBN4,El Nabatieh   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN4,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,LBN320049,Ghobeire   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.51024,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN320049,33.86113,487696.00 USD,PD,Village,Adolescent & Youth
ended,35111,Halba   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,35111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN51137,Halba   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,36.0777,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN51137,34.54333,487696.00 USD,PD,Village,Adolescent & Youth
ended,21144,Haret Horaeik   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,21144,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN320058,Haret Hraik   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.5088,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN320058,33.8529,487696.00 USD,PD,Village,Adolescent & Youth
ended,61159,Haret Saeida   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,61159,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,54111,Hermel   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,54111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,10310,Mazraa   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,10310,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN3,Mount Lebanon   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN3,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,71111,Nabatiyeh ElTahta   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,71111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN5,North   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN5,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,61115,Saeida Ville   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,61115,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN61100,Saida   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.36779,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN61100,33.5626,487696.00 USD,PD,Village,Adolescent & Youth
ended,LBN61096,Sarafand   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,35.29486,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN61096,33.44983,487696.00 USD,PD,Village,Adolescent & Youth
ended,61449,Sarafend   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,61449,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,22155,Senn el Fil   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,22155,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN6,South   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,LBN6,0,487696.00 USD,PD,Governorate,Adolescent & Youth
ended,51111,Zahleh Midan   ,06/30/2020,"Inpower - A project to Educate,Engage & Empower Youth aged 10-24 years",SOINS INFIMIERS ET DEVELOPPMENT COMMUNAUTAIRE,Beirut,LEBA/PCA2017054/PD2019641-1,0,04/02/2019,https://etools.unicef.org/pmp/interventions/641,51111,0,487696.00 USD,PD,Locality,Adolescent & Youth
ended,LBN33036,Boqaata   ,09/30/2020,Innovation Lab in Shouf,RURAL ENTREPRENEURS,Beirut,LEBA/PCA2018507/PD2019696-1,35.59801,08/19/2019,https://etools.unicef.org/pmp/interventions/696,LBN33036,33.67014,256870.00 USD,PD,Village,Adolescent & Youth
ended,LBN36083,El Qalaa   ,09/30/2020,Innovation Lab in Shouf,RURAL ENTREPRENEURS,Beirut,LEBA/PCA2018507/PD2019696-1,35.53501,08/19/2019,https://etools.unicef.org/pmp/interventions/696,LBN36083,33.87047,256870.00 USD,PD,Village,Adolescent & Youth
ended,,Al Najda Al Shaabiya Bikfaya   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,35.6827940004,03/13/2019,https://etools.unicef.org/pmp/interventions/654,,33.9240219996,996500.77 USD,PD,Primary Health Care Center,Adolescent & Youth
ended,32111-40-01,Amioun   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,35.808006,03/13/2019,https://etools.unicef.org/pmp/interventions/654,32111,34.29961,996500.77 USD,PD,Social Development Center,Adolescent & Youth
ended,LBN54005,Amioun   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,35.80801,03/13/2019,https://etools.unicef.org/pmp/interventions/654,LBN54005,34.29961,996500.77 USD,PD,Village,Adolescent & Youth
ended,24349,Mejdlaya   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,0,03/13/2019,https://etools.unicef.org/pmp/interventions/654,24349,0,996500.77 USD,PD,Locality,Adolescent & Youth
ended,LBN56027,Shok   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,35.8422,03/13/2019,https://etools.unicef.org/pmp/interventions/654,LBN56027,34.4259,996500.77 USD,PD,Village,Adolescent & Youth
ended,LBN57077,Zgharta   ,03/13/2020,"Supporting vulnerable girls and boys with learning, soft and hard skills and employability programmes in the North",RENE MOAWAD FOUNDATION,Beirut,LEBA/PCA2017052/PD2019654-1,35.89581,03/13/2019,https://etools.unicef.org/pmp/interventions/654,LBN57077,34.39666,996500.77 USD,PD,Village,Adolescent & Youth
draft,,Al Najda Al Shaabiya Bikfaya   ,01/20/2020,Protecting and Empowering Children and their Families in 14 key localities of Northern Lebanon (Phase 2),RENE MOAWAD FOUNDATION,"Beirut, Tripoli",LEBA/PCA2017052/PD2019660,35.6827940004,03/20/2019,https://etools.unicef.org/pmp/interventions/660,,33.9240219996,320944.22 USD,PD,Primary Health Care Center,Child Protection
