"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","database.id","database"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",315,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m0124426604","s0070990593","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",55300,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1248775215","s0070990593","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",55125,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m0010690663","s0070990593","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",349,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1646459226","s0070990593","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",55125,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m0124426604","s0070990593","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",316,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1248775215","s0070990593","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",333,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1887820780","s0070990593","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",57750,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1029634879","s0070990593","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",315,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m0010690663","s0070990593","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",61075,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1646459226","s0070990593","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",15300,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Caritas Lebanon","p0000014738","Caritas Lebanon",NA,NA,"Independent","m1562908453","s0075707099","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",51,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Caritas Lebanon","p0000014738","Caritas Lebanon",NA,NA,"Independent","m1562908453","s0075707099","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0382386419","1.1.1.1:LEB- # of affected households profiled (# HH Visits)","Household",51,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Caritas Lebanon","p0000014738","Caritas Lebanon",NA,NA,"Independent","m0428147410","s0075707099","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",13650,NA,NA,"Miniyeh-Danniyeh","LBN55","Nord","4",NA,NA,NA,"Miniyeh-Danniyeh","Lebanese Red Cross","p0000002343","Lebanese Red Cross",NA,NA,"Independent","m1696548449","s0102432093","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",78,NA,NA,"Miniyeh-Danniyeh","LBN55","Nord","4",NA,NA,NA,"Miniyeh-Danniyeh","Lebanese Red Cross","p0000002343","Lebanese Red Cross",NA,NA,"Independent","m1696548449","s0102432093","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",149,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1568104600","s0103566649","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2101,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1568104600","s0103566649","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1759133196","s0103566649","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2102,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1971217952","s0103566649","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1971217952","s0103566649","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",367850,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1534767869","s0103566649","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1971217952","s0103566649","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1533110772","s0103566649","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2102,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1533110772","s0103566649","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1760603942","s0103566649","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",367850,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1533110772","s0103566649","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",367850,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1971217952","s0103566649","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
"2018-06-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1533110772","s0103566649","2018-06-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1534767869","s0103566649","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26075,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1568104600","s0103566649","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1534767869","s0103566649","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",367675,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1568104600","s0103566649","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1760603942","s0103566649","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",376250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1759133196","s0103566649","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1759133196","s0103566649","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",376250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1760603942","s0103566649","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",2102,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1534767869","s0103566649","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0180036293","1.1.2.2:LEB- Total USD amount distributed","USD",26250,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1760603942","s0103566649","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1016696224","1.1.2.1:LEB- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",150,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Action contre la Faim","p0000000076","ACF",NA,NA,"ECHO","m1759133196","s0103566649","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",5092,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1030802863","s0106017647","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",888840.5,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0468566595","s0106017647","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",883462,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1030802863","s0106017647","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",5123,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0468566595","s0106017647","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",886238,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1999947666","s0106017647","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",5090,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0431870080","s0106017647","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",883115,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0431870080","s0106017647","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",5108,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1999947666","s0106017647","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",450,NA,NA,"El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"El Nabatieh","Solidar Suisse","p0000001373","Solidar Suisse",NA,NA,"Independent","m2138908413","s0125164078","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0625224675","1.1.1.1:DisSyr- # of affected households profiled (# HH Visits)","Household",41,NA,NA,"El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"El Nabatieh","Solidar Suisse","p0000001373","Solidar Suisse",NA,NA,"Independent","m0163507182","s0125164078","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
