"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Does your programme specifically/primarily target one of these beneficiary groups:","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2018-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Chhim","23013","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Chhim","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2088570152","s0209840825","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Chhim","23013","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Chhim","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1566165597","s0209840825","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Chhim","23013","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Chhim","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0781330896","s0209840825","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Chhim","23013","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Chhim","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2136306866","s0209840825","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i2010109463",NA,"--------Activity-1.1.5: Community Support Projects (budget below 100,000 $)--------","Unit",1,"Barr Elias","51057","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Barr Elias","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m0135605534","s0236252672","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i2010109463",NA,"--------Activity-1.1.5: Community Support Projects (budget below 100,000 $)--------","Unit",1,"Barr Elias","51057","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Barr Elias","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m1043289910","s0236252672","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i2010109463",NA,"--------Activity-1.1.5: Community Support Projects (budget below 100,000 $)--------","Unit",1,"Barr Elias","51057","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Barr Elias","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m1491064328","s0236252672","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i2010109463",NA,"--------Activity-1.1.5: Community Support Projects (budget below 100,000 $)--------","Unit",1,"Barr Elias","51057","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Barr Elias","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m2131330526","s0236252672","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0963042018",NA,"1.1.2.3_Female: # of officials trained on community engagement & mediation","Officials",5,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0310951305",NA,"1.1.2.3_Male:  # of officials trained on community engagement & mediation","Officials",8,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0963042018",NA,"1.1.2.3_Female: # of officials trained on community engagement & mediation","Officials",5,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1265024246",NA,"1.1.1.4_Female: # of community/civil society members participating","Individuals",5,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1265024246",NA,"1.1.1.4_Female: # of community/civil society members participating","Individuals",5,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0310951305",NA,"1.1.2.3_Male:  # of officials trained on community engagement & mediation","Officials",8,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1399745490",NA,"1.1.1.2: # of projects/priorities identified through participatory processes","Projects / Prio",3,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i2018041335",NA,"1.1.2.1: # of municipalities receiving direct support on community engagement & mediation","Municipalities",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i2018041335",NA,"1.1.2.1: # of municipalities receiving direct support on community engagement & mediation","Municipalities",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0762266749",NA,"1.1.5.1: #water supply CSP project completed","Projects",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1101504806",NA,"1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i1274818575",NA,"1.1.5.3: # municipalities benefiting from completed CSP project(s)","Municipalities",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1185540997",NA,"1.1.1.4_Male: # of community/civil society members participating","Individuals",8,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1101504806",NA,"1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1185540997",NA,"1.1.1.4_Male: # of community/civil society members participating","Individuals",8,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1447767642",NA,"--------Activity-1.1.1: Municipal participatory processes--------","Unit",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1584063641",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.1 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0661845411",NA,"1.1.5.2: USD amount invested in CSP project(s)","USD",78100,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i0052997019",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.2 will be ongoing in this location","1",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1447767642",NA,"--------Activity-1.1.1: Municipal participatory processes--------","Unit",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.2: Municipal capacity to engage commu",NA,"i2018041335",NA,"1.1.2.1: # of municipalities receiving direct support on community engagement & mediation","Municipalities",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m0035905839","s0256661347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.1: Municipal participatory processes",NA,"i1399745490",NA,"1.1.1.2: # of projects/priorities identified through participatory processes","Projects / Prio",3,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0762266749",NA,"1.1.5.1: #water supply CSP project completed","Projects",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1488749180","s0256661347","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0762266749",NA,"1.1.5.1: #water supply CSP project completed","Projects",1,"Trablous El-Qobbe","31009","Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous El-Qobbe","International Organisation of Migration","p0000000034","IOM",NA,NA,"Canada",NA,"Municipalities","Yes","Social Stability","m1798237274","s0256661347","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
