"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","report.id","site.id","start_date","Funded_by","LCRP Appeal","database.id","database"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0624395133","3.3: PRL-# of individuals receiving vouchers","Unit",176,"Furn Ech-Chebbak","21003","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Furn Ech-Chebbak","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1453450725","s0707259401","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1422544540","3.5: OTH-# of individuals receiving vouchers","Unit",47,"Furn Ech-Chebbak","21003","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Furn Ech-Chebbak","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1453450725","s0707259401","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0332178918","3.2: LEB-# of individuals receiving vouchers","Unit",86,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0472388171","s1004621301","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",157,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0472388171","s1004621301","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",129,"Haret Hreik","21006","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Haret Hreik","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1881346719","s1029469898","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1422544540","3.5: OTH-# of individuals receiving vouchers","Unit",9,"Haret Hreik","21006","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Haret Hreik","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1881346719","s1029469898","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",11,"Choueifat El-Aamrousiye","24001","Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Choueifat El-Aamrousiye","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0677159504","s1038568159","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0332178918","3.2: LEB-# of individuals receiving vouchers","Unit",52,"Semqaniye","23023","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Semqaniye","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0519951148","s1087172926","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",148,"Semqaniye","23023","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Semqaniye","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0519951148","s1087172926","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0425651398","3.4: PRS-# of individuals receiving vouchers","Unit",1,"Semqaniye","23023","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Semqaniye","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0519951148","s1087172926","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",18,"Laylake","21005","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Laylake","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1171410895","s2024392243","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0823309776","1.1.1.1: DisSyr-Female # of individuals receiving food parcels","Unit",290,NA,NA,"Zgharta","LBN57","Nord","4",NA,NA,NA,"Zgharta","Himaya Daeem Aataa","p0000013619","HDA",NA,NA,"m0697883456","s0020675889","2018-05-01","UAE","No",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0753323106","1.1.1.1: LEB-Male # of individuals receiving food parcels","Unit",8,NA,NA,"Zgharta","LBN57","Nord","4",NA,NA,NA,"Zgharta","Himaya Daeem Aataa","p0000013619","HDA",NA,NA,"m0697883456","s0020675889","2018-05-01","UAE","No",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0007331656","1.1.1.1: LEB-Female # of individuals receiving food parcels","Unit",10,NA,NA,"Zgharta","LBN57","Nord","4",NA,NA,NA,"Zgharta","Himaya Daeem Aataa","p0000013619","HDA",NA,NA,"m0697883456","s0020675889","2018-05-01","UAE","No",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0149421417","1.1.1.1: DisSyr-Male # of individuals receiving food parcels","Unit",192,NA,NA,"Zgharta","LBN57","Nord","4",NA,NA,NA,"Zgharta","Himaya Daeem Aataa","p0000013619","HDA",NA,NA,"m0697883456","s0020675889","2018-05-01","UAE","No",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0003196221","Activity 1.1.1: Provision of food parcels (including food kits, ready-to-eat foods, hot meals, school feeding)","Unit",500,NA,NA,"Zgharta","LBN57","Nord","4",NA,NA,NA,"Zgharta","Himaya Daeem Aataa","p0000013619","HDA",NA,NA,"m0697883456","s0020675889","2018-05-01","UAE","No",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0003196221","Activity 1.1.1: Provision of food parcels (including food kits, ready-to-eat foods, hot meals, school feeding)","Unit",465,NA,NA,"Miniyeh-Danniyeh","LBN55","Nord","4",NA,NA,NA,"Miniyeh-Danniyeh","Islamic Relief","p0000001012","IR",NA,NA,"m1191826713","s0171718593","2018-02-01","USA","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0003196221","Activity 1.1.1: Provision of food parcels (including food kits, ready-to-eat foods, hot meals, school feeding)","Unit",387,NA,NA,"Miniyeh-Danniyeh","LBN55","Nord","4",NA,NA,NA,"Miniyeh-Danniyeh","Islamic Relief","p0000001012","IR",NA,NA,"m1990007933","s0171718593","2018-03-01","USA","Yes",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0003196221","Activity 1.1.1: Provision of food parcels (including food kits, ready-to-eat foods, hot meals, school feeding)","Unit",400,NA,NA,"Miniyeh-Danniyeh","LBN55","Nord","4",NA,NA,NA,"Miniyeh-Danniyeh","Islamic Relief","p0000001012","IR",NA,NA,"m0997095715","s0171718593","2018-05-01","USA","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1795962411","1.1.1.2: DisSyr-Female # of individuals receiving ready to eat food","Unit",238,NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","Union of the Relief and Development Associations","p0000001356","URDA",NA,NA,"m1964303219","s0263322145","2018-01-01","Japan","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0823309776","1.1.1.1: DisSyr-Female # of individuals receiving food parcels","Unit",238,NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","Union of the Relief and Development Associations","p0000001356","URDA",NA,NA,"m1964303219","s0263322145","2018-01-01","Japan","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0003196221","Activity 1.1.1: Provision of food parcels (including food kits, ready-to-eat foods, hot meals, school feeding)","Unit",3450,NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","Union of the Relief and Development Associations","p0000001356","URDA",NA,NA,"m1964303219","s0263322145","2018-01-01","Japan","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0969148178","1.1.1.2: DisSyr-Male # of individuals receiving ready to eat food","Unit",357,NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","Union of the Relief and Development Associations","p0000001356","URDA",NA,NA,"m1964303219","s0263322145","2018-01-01","Japan","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0149421417","1.1.1.1: DisSyr-Male # of individuals receiving food parcels","Unit",357,NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","Union of the Relief and Development Associations","p0000001356","URDA",NA,NA,"m1964303219","s0263322145","2018-01-01","Japan","Yes",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",35,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1874641532","s0351877170","2018-05-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",60,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1282409640","s0351877170","2018-02-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0368911335","1.1.1.4: LEB-Male # of children receiving school snacks","Unit",30,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1874641532","s0351877170","2018-05-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",53,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m2064558521","s0351877170","2018-01-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",61,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m0283678325","s0351877170","2018-03-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-04-30","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",67,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1321116452","s0351877170","2018-04-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",35,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1874641532","s0351877170","2018-05-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-05-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i2017812493","1.1.1.4: LEB-Female # of children receiving school snacks","Unit",25,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1874641532","s0351877170","2018-05-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",55,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m0283678325","s0351877170","2018-03-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",70,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m2064558521","s0351877170","2018-01-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-04-30","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",55,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1321116452","s0351877170","2018-04-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",55,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","Dorcas Aid","p0000001757","Dorcas",NA,NA,"m1282409640","s0351877170","2018-02-01","Others","Yes",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0149421417","1.1.1.1: DisSyr-Male # of individuals receiving food parcels","Unit",2500,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1898099710","s0424228075","2018-01-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1590160634","1.1.1.3: # of parcels/ready to eat food distributed","Unit",2700,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1417825743","s0424228075","2018-02-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1590160634","1.1.1.3: # of parcels/ready to eat food distributed","Unit",1293,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1898099710","s0424228075","2018-01-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0823309776","1.1.1.1: DisSyr-Female # of individuals receiving food parcels","Unit",2500,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1898099710","s0424228075","2018-01-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0149421417","1.1.1.1: DisSyr-Male # of individuals receiving food parcels","Unit",5400,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1417825743","s0424228075","2018-02-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0823309776","1.1.1.1: DisSyr-Female # of individuals receiving food parcels","Unit",5400,NA,NA,"Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Baalbek","Dar Al Fatwa","p0000001760","DAF",NA,NA,"m1417825743","s0424228075","2018-02-01","Others","No",8444,"LCRP-2018-R Food Security"
"2018-01-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",165,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0298262635","s0441679181","2018-01-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0368911335","1.1.1.4: LEB-Male # of children receiving school snacks","Unit",650,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0408933107","s0441679181","2018-03-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-04-30","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",162,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0758547572","s0441679181","2018-04-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-04-30","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i2017812493","1.1.1.4: LEB-Female # of children receiving school snacks","Unit",648,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0758547572","s0441679181","2018-04-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",163,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0408933107","s0441679181","2018-03-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-02-28","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i1091349307","1.1.1.4: DisSyr-Female # of children receiving school snacks","Unit",163,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m1945883062","s0441679181","2018-02-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
"2018-03-31","Output 1.1: In-kind food assistance to the most vulnerable provided ","Outcome 1: Improve FOOD AVAILABILITY through in kind food assistance and sustainable food value chain","Activity 1.1.1","i0462542301","1.1.1.4: DisSyr-Male # of children receiving school snacks","Unit",162,NA,NA,"Metn","LBN36","Mont Liban","5",NA,NA,NA,"Metn","International Orthodox Christian Charities","p0000000917","IOCC",NA,NA,"m0408933107","s0441679181","2018-03-01","WFP","Yes",8444,"LCRP-2018-R Food Security"
