"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","Does your programme specifically/primarily target one of these beneficiary groups:","Funded_by","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.2.1","i0420031553","1.2.1.1: # of Municipal Solid Waste Management projects completed","Projects",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1929368916","s0080341790","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1929368916","s0080341790","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.2.1","i1449484116","1.2.1.3: # of municipalities benefitting from SW projects","Municipalities",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1929368916","s0080341790","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-01-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1013977606","s0080341790","2018-01-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1927253869","s0080341790","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1763716536","s0104986330","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i1582318680","1.1.3.3:  # of  male officials trained on strategic planning & service delivery","Officials",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1482686313","1.1.1.3: # of female municipal officials participating","Officials",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1451421661","1.1.1.4:  # of female community/civil society members participating","Individuals",5,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i0803268145","1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i0949068453","1.1.1.4:  # of male community/civil society members participating","Individuals",4,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0696287250","s0104986330","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i0330857018","1.1.1.3: # of male municipal officials participating","Officials",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1760771944","1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Srifa","62046","Sour","LBN63","Sud","8",NA,NA,NA,"Srifa","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1581274738","s0104986330","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1759123212","s0105579302","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-08-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1847287399","s0105579302","2018-08-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-09-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0533795004","s0105579302","2018-09-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1601213750","s0105579302","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-07-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1782266522","s0105579302","2018-07-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-10-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m1076100073","s0105579302","2018-10-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Qraiyet Saida","61014","Saida","LBN61","Sud","8",NA,NA,NA,"Qraiyet Saida","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"UK","m0865888934","s0105579302","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-12-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0820893134","s0109527727","2018-12-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-10-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0737306140","s0109527727","2018-10-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m1540476504","s0109527727","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-11-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0884557267","s0109527727","2018-11-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-02-28","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0343110332","s0109527727","2018-02-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0129101498","s0109527727","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-07-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0346134578","s0109527727","2018-07-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-08-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0165894578","s0109527727","2018-08-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m1933790119","s0109527727","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-09-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m1419877048","s0109527727","2018-09-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Meiss Ej-Jabal","73029ND","Marjaayoun","LBN43","Nabatiye","9",NA,NA,NA,"Meiss Ej-Jabal","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Germany","m0320335002","s0109527727","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2110050610","s0118847419","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i0330857018","1.1.1.3: # of male municipal officials participating","Officials",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i0949068453","1.1.1.4:  # of male community/civil society members participating","Individuals",2,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1760771944","1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1312645443","s0118847419","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i0803268145","1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1451421661","1.1.1.4:  # of female community/civil society members participating","Individuals",1,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i1582318680","1.1.3.3:  # of  male officials trained on strategic planning & service delivery","Officials",2,"Khirbet Daoud Aakkar","35118","Aakar","LBN51","Akkar","2",NA,NA,NA,"Khirbet Daoud Aakkar","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m2092992912","s0118847419","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
