"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.plan","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c8rvkhykca4ef2y8","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-06","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",150
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c2zeq5kkdh56en34","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-07","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c8ox501kfw9qqql9","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-09","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",20
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","crjjhq8kfwo9ke8d","LBN63","Sour",NA,NA,"UNICEF",8,"Sud","2020-09","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31",NA,"UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",8
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cmf8i8kfwob5gne","LBN61","Saida",NA,NA,"UNICEF",8,"Sud","2020-09","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31",NA,"UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",14
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cqywxwkkfz3dha32","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-09","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",5
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c44zp0lkh1sxjpk4","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-10","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",18
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cz4uinokh1v2mu72","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-10","LECORVAW","LECORVAW",NA,"2020-12-31",NA,"LEBA/PCA2017028- PD Ref. No.: PD2020729.","Empower and secure vulnerable women and girls Phase 4.","2019-12-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cyelkozkhbwmvbb5","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-10","DRC","Danish Refugee Council",NA,"2021-03-31",NA,"ECHO/SYR/BUD/2020/91000","Upholding protection space for vulnerable displacement-affected individuals facing immediate protection concerns, while reinfor...","2020-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cgyxhkgkhbwopyw6","LBN55","Miniyeh-Danniyeh",NA,NA,"ECHO",4,"Nord","2020-10","DRC","Danish Refugee Council",NA,"2021-03-31",NA,"ECHO/SYR/BUD/2020/91000","Upholding protection space for vulnerable displacement-affected individuals facing immediate protection concerns, while reinfor...","2020-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cgmca0vkhbws83n7","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-10","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",3
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","chuy06dkhbwyb219","LBN55","Miniyeh-Danniyeh",NA,NA,"UNHCR",4,"Nord","2020-10","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ckipky2khbx7b61a","LBN55","Miniyeh-Danniyeh",NA,NA,"DANIDA",4,"Nord","2020-10","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"LBN-000199","DANIDA Flex - Responding to increased GBV and CP needs due to COVID-19 in Lebanon","2020-06-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cmjzwwbkhx5mq6q2","LBN11","Beirut",NA,NA,"UNFPA",7,"Beyrouth","2020-09","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",20
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cbmrkykkhx6lhu43","LBN11","Beirut",NA,NA,"UNFPA",7,"Beyrouth","2020-10","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",15
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cezaw4iki7du6t97","LBN11","Beirut",NA,NA,"UNICEF",7,"Beyrouth","2020-11","KAFA","KAFA",NA,"2021-02-27",NA,"LEBA/PCA2017063/PD2020766","UNICEF - Protecting children, adolescents and women from Gender Based Violence (phase VIII)","2020-02-27","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",18
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c239kvrki8knn8w2","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-11","DRC","Danish Refugee Council",NA,"2021-03-31",NA,"ECHO/SYR/BUD/2020/91000","Upholding protection space for vulnerable displacement-affected individuals facing immediate protection concerns, while reinfor...","2020-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c234q5bki8l3ktn4","LBN11","Beirut",NA,NA,"UNFPA",7,"Beyrouth","2020-11","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",40
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cgw9xpoki8lbl765","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-11","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",20
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cdnef0mkjijstkl4","LBN11","Beirut",NA,NA,"UNFPA",7,"Beyrouth","2020-12","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",10
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cwptiznkjijxzg16","LBN61","Saida",NA,NA,"UNFPA",8,"Sud","2020-12","Naba’a","Naba’a",NA,"2020-08-04",NA,"LBN04NAB","Strengthened engagement and capacities of government institutions - national and local - and civil society institutions to adva...","2020-05-04","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",10
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ceimcurkjl8f5vu2","LBN63","Sour",NA,NA,"UNICEF",8,"Sud","2020-12","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31",NA,"UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",23
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","cdnwxsmkjl8vfcc3","LBN61","Saida",NA,NA,"UNICEF",8,"Sud","2020-12","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31",NA,"UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",18
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","chupgcgkjmklyyc2","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-12","LECORVAW","LECORVAW",NA,"2020-12-31",NA,"LEBA/PCA2017028- PD Ref. No.: PD2020729.","Empower and secure vulnerable women and girls Phase 4.","2019-12-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",8
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ctw68dlkjo2ryun5","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-12","DRC","Danish Refugee Council",NA,"2021-03-31",NA,"ECHO/SYR/BUD/2020/91000","Upholding protection space for vulnerable displacement-affected individuals facing immediate protection concerns, while reinfor...","2020-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",1
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","codezhykjo2xd7m6","LBN55","Miniyeh-Danniyeh",NA,NA,"ECHO",4,"Nord","2020-12","DRC","Danish Refugee Council",NA,"2021-03-31",NA,"ECHO/SYR/BUD/2020/91000","Upholding protection space for vulnerable displacement-affected individuals facing immediate protection concerns, while reinfor...","2020-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","coex3dxkjo32mj57","LBN55","Miniyeh-Danniyeh",NA,NA,"UNHCR",4,"Nord","2020-12","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ctqn6cdkjo34bqo8","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-12","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","c7ata1nkjsnr7uad","LBN11","Beirut",NA,NA,"UNICEF",7,"Beyrouth","2020-12","KAFA","KAFA",NA,"2021-02-27",NA,"LEBA/PCA2017063/PD2020766","UNICEF - Protecting children, adolescents and women from Gender Based Violence (phase VIII)","2020-02-27","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",34
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6938gr13","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-01","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",33
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k693d5el8","LBN56","Trablous",NA,NA,"ECHO",4,"Nord","2020-01","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",14
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k693dyvia","LBN57","Zgharta",NA,NA,"ECHO",4,"Nord","2020-01","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",5
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6aka0fuc","LBN56","Trablous","In partnership with Akkarouna",NA,"UNOCHA",4,"Nord","2020-01","DRC","Danish Refugee Council",NA,"2020-08-31",NA,"LEB-19/DDA-3604/SA1/GBV/INGO/13152","Enhancing local capacities to respond to the needs of the most vulnerable children at risk through specialized child marriage p...","2019-09-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",22
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6j1jfia2","LBN21","Baalbek","Arsal WGCC",NA,"Sweden",3,"Baalbek_Hermel","2020-01","IRC","International Rescue Committee",NA,"2020-11-30",NA,"-","Sida Secure -Supporting Social and Economic Resilience of Vulnerable Women and Girls in Lebanon and Jordan","2020-01-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",6
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6j2b23t3","LBN21","Baalbek","RRT - Arsal + MAQ + Hermel",NA,"UNICEF",3,"Baalbek_Hermel","2020-01","IRC","International Rescue Committee",NA,"2020-12-31",NA,"LEBA/PCA2017024/PD2020733","UNICEF- Strengthening prevention and response services for women girls at risks and survivors of violence in Lebanon","2020-01-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",7
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6rskwat6","LBN21","Baalbek",NA,NA,"ECHO",3,"Baalbek_Hermel","2020-01","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",30
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6tdiqv14","LBN32","Baabda",NA,NA,"UNICEF",5,"Mont Liban","2020-01","KAFA","KAFA",NA,"2020-01-31",NA,"LEBA/PCA2017063/PD2019690","Protecting children, adolescents and women from Gender Based Violence (phase VII)","2019-06-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",29
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6tea6pf3","LBN11","Beirut",NA,NA,"UNICEF",7,"Beyrouth","2020-01","KAFA","KAFA",NA,"2020-01-31",NA,"LEBA/PCA2017063/PD2019690","Protecting children, adolescents and women from Gender Based Violence (phase VII)","2019-06-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",42
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fyjrdj6","LBN56","Trablous",NA,NA,"UNHCR",4,"Nord","2020-02","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",5
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fysav26","LBN21","Baalbek","Arsal WGCC",NA,"Sweden",3,"Baalbek_Hermel","2020-02","IRC","International Rescue Committee",NA,"2020-11-30",NA,"-","Sida Secure -Supporting Social and Economic Resilience of Vulnerable Women and Girls in Lebanon and Jordan","2020-01-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",8
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fzgk0hc","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-02","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",17
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fzpcsod","LBN56","Trablous",NA,NA,"ECHO",4,"Nord","2020-02","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","ck4861adf5r",NA,"3.2.A. (Age >= 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",24
