"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","ai_allsites.alternate_name","ai_allsites.geographic_location.latitude","ai_allsites.geographic_location.longitude","ai_allsites.name","cadastral_area.code","cadastral_area.name","caza.code","caza.name","children_with_disability","comment","covid_adaptation","covid_adapted_sensitization","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7lrvttkb",NA,NA,NA,NA,NA,NA,"LBN44","El Nabatieh",NA,"Awareness sessions/recreational camp activities for children and caregivers/ adults: 10 in February, 4 in January.",NA,NA,NA,"Expertise France",9,"Nabatiye","2020-01","Mouvement Social","Mouvement Social",NA,"2020-02-29","19-SB1085","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-11-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",4
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7lsdutrc",NA,NA,NA,NA,NA,NA,"LBN44","El Nabatieh",NA,"Awareness sessions/recreational camp activities for children and caregivers/ adults: 10 in February, 4 in January.",NA,NA,NA,"Expertise France",9,"Nabatiye","2020-02","Mouvement Social","Mouvement Social",NA,"2020-02-29","19-SB1085","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-11-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",10
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","c42paipkb0puqo6a",NA,NA,NA,NA,NA,NA,"LBN51","Aakar",NA,"Remote sessions + Happiness Train Activity",NA,NA,NA,"Africa Muslim Agency (AMA)",2,"Akkar","2020-05","URDA","Union of the Relief and Development Associations",NA,"2020-12-31","URDA/2020/005","Psycho-social support - Bassamat center For Vulnerable Children and adolescents","2020-01-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ce42whkb0pwp25d",NA,NA,NA,NA,NA,NA,"LBN31","Aaley",NA,"Remote sessions",NA,NA,"LIFE -France","LIFE -France",5,"Mont Liban","2020-05","URDA","Union of the Relief and Development Associations",NA,"2020-12-31","URDA/2020/003","Psycho-social support – Protection center for Vulnerable Children and Women","2020-01-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","cnptgsbkb0q0b69g",NA,NA,NA,NA,NA,NA,"LBN25","Zahleh",NA,"Remote sessions + Happiness Train Activity",NA,NA,NA,"URDA-Private donation",6,"Bekaa","2020-05","URDA","Union of the Relief and Development Associations","Remote sessions","2020-06-30","URDA/2020/0012","Remote activities","2020-05-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","c60hcopkb0q1zg6i",NA,NA,NA,NA,NA,NA,"LBN22","Hermel",NA,"Remote sessions",NA,NA,NA,"URDA-Private donation",3,"Baalbek_Hermel","2020-05","URDA","Union of the Relief and Development Associations","Remote sessions","2020-06-30","URDA/2020/0012","Remote activities","2020-05-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9whm5s83",NA,NA,NA,NA,"10999","Beirut Central District","LBN11","Beirut",NA,"SaWC",NA,"Yes",NA,"UNHCR",7,"Beyrouth","2020-04","Makhzoumi","Makhzoumi Foundation",NA,"2020-12-31","LBN01/2020/0000000510/000","UNHCR - Strengthening the Protection Environment for Syrian Refugees in Beirut, Iraqi and other Nationalities in Lebanon","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9wutfax5",NA,NA,NA,NA,"62008","Batoulay","LBN63","Sour",NA,NA,NA,"Yes",NA,"UNICEF",8,"Sud","2020-04","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31","UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9wux2aq7",NA,NA,NA,NA,"62001","Aain Abou Abdallah","LBN63","Sour",NA,NA,NA,"Yes",NA,"UNICEF",8,"Sud","2020-04","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31","UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9wv9hbf9",NA,NA,NA,NA,"62004","Borj Ech-Chemali","LBN63","Sour",NA,NA,NA,"Yes",NA,"UNICEF",8,"Sud","2020-04","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31","UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9wvavyrb",NA,NA,NA,NA,"62006","Sour","LBN63","Sour",NA,NA,NA,"Yes",NA,"UNICEF",8,"Sud","2020-04","TdH-L","Terre des Hommes - Lausanne",NA,"2020-12-31","UNI001","""UNICEF-STAND UP FOR SOCIAL CHANGE""","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y5ceex3",NA,NA,NA,NA,"52095","Machghara","LBN24","West Bekaa",NA,NA,NA,"Yes",NA,"UNICEF",6,"Bekaa","2020-04","AMEL","AMEL",NA,"2020-12-31","LEBA/PCA2017059/PD2020731","Strengthening the engagement of children , families and communities affected by the SYRIANS crisis in LEBANON in practices prot...","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y5cxmw5",NA,NA,NA,NA,"24001","Choueifat El-Aamrousiye","LBN31","Aaley",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",5
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y5ja3j9",NA,NA,NA,NA,"53048","Aain Baalbek","LBN21","Baalbek",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","AMEL","AMEL",NA,"2020-12-31","LEBA/PCA2017059/PD2020731","Strengthening the engagement of children , families and communities affected by the SYRIANS crisis in LEBANON in practices prot...","2020-01-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y5sni67",NA,NA,NA,NA,"23017","Ketermaya","LBN33","Chouf",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6025o9",NA,NA,NA,NA,"23006","Sibline","LBN33","Chouf",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y684stb",NA,NA,NA,NA,"23005","Barja","LBN33","Chouf",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6cnk1d",NA,NA,NA,NA,"23025","Daraiya Ech-Chouf","LBN33","Chouf",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",4
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6gm1of",NA,NA,NA,NA,"23013","Chhim","LBN33","Chouf",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6nu3dh",NA,NA,NA,NA,"24070","Bayssour Aaley","LBN31","Aaley",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6rndqj",NA,NA,NA,NA,"26016","Nahr Ibrahim","LBN34","Jbayl",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",4
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y6w8hxm",NA,NA,NA,NA,"22079","Khinchara","LBN36","Metn",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y70x78o",NA,NA,NA,NA,"21002","Hadath Beyrouth","LBN32","Baabda",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y83no83",NA,NA,NA,NA,"53076","Aarsal","LBN21","Baalbek",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",27
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y8khy84",NA,NA,NA,NA,"53014bis","Fekehe","LBN21","Baalbek",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",25
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y8rn385",NA,NA,NA,NA,"54006bis","Qaa Baalbek","LBN21","Baalbek",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",20
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y8xbqv6",NA,NA,NA,NA,"54001","Hermel","LBN22","Hermel",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",6
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","ck9y956ph7",NA,NA,NA,NA,"53027","Iaat","LBN21","Baalbek",NA,NA,NA,"Yes",NA,"UNICEF",3,"Baalbek_Hermel","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","cnnu47bkae78ia25",NA,NA,NA,NA,"24004","Aaley","LBN31","Aaley",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",15
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck9k8kan54k","COVID-19 Sensitization Activities","ck9k6ttuey","c8apl1qkae7c8am7",NA,NA,NA,NA,"22001","Bourj Hammoud","LBN36","Metn",NA,NA,NA,"Yes",NA,"UNICEF",5,"Mont Liban","2020-04","TdH-It","TERRE DES HOMMES, ITALY",NA,"2021-01-31","LEBA/PCA2017042/PD2020760","Promotion of Child Protection activities in Mount Lebanon and Baalbeck and Hermel Governorates","2020-02-01","ck9k8krue7d",NA,"4.3.5_Caregivers_SYR_Male_U18: # of caregivers sensitized during COVID-19 to promote their wellbeing and protection of their children",5
