"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Sector of Funding","Government Strategy Supported","LCRP Appeal","Economic Sector targeted by intervention","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups?","Governorate","For UNICEF Partners","Training certified/accredited","database.id","database"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i1291652642",NA,"Outcome 1 - # of decent jobs created in supported MSMEs/cooperatives &value chains","Jobs",13,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m2119941972","s0334609706","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",0,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m0839087622","s0334609706","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0522535962",NA,"Output 1.1 # of new Lebanese MSMEs/cooperatives established","MSMEs",6,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m2119941972","s0334609706","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i1291652642",NA,"Outcome 1 - # of decent jobs created in supported MSMEs/cooperatives &value chains","Jobs",2,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m0839087622","s0334609706","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",4,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m0839087622","s0334609706","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i1425253022",NA,"Outcome 1 - # of decent jobs improved in supported MSMEs/cooperatives &value chains","Jobs",4,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m0839087622","s0334609706","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",21,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0728073172","s1045431271","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",29,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0997704537","s1045431271","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",21,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0728073172","s1045431271","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",25,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m2070063817","s1045431271","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",25,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m2070063817","s1045431271","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",29,NA,NA,NA,NA,"Nabatiye","9",NA,NA,NA,"Nabatiye","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0997704537","s1045431271","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",13100,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1409448476","s1112978512","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",19,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1319402069","s1112978512","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",2800,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1353150655","s1112978512","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",13,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1409448476","s1112978512","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",20,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1353150655","s1112978512","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",31000,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1319402069","s1112978512","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",13,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1409448476","s1112978512","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",19,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1319402069","s1112978512","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",20,NA,NA,NA,NA,"Bekaa","6",NA,NA,NA,"Bekaa","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1353150655","s1112978512","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0049034282",NA,"Output 1.2 (optional): # of new male-headed business start-ups in the target sectors and area","Start-ups",0,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",0,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0522535962",NA,"Output 1.1 # of new Lebanese MSMEs/cooperatives established","MSMEs",0,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",48,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i1129345185",NA,"Output 1.2 (optional): # of new female-headed business start-ups in the target sectors and area","Start-ups",0,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i1291652642",NA,"Outcome 1 - # of decent jobs created in supported MSMEs/cooperatives &value chains","Jobs",0,NA,NA,NA,NA,"Sud","8",NA,NA,NA,"Sud","SHEILD","p0000001514","SHEILD",NA,NA,"Others","Livelihoods","Other","Yes","Other service activities","m0892967257","s1217277847","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
