"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","Direct implementation (refers to services being provided by an NGO partner in the SDCs premises)","Case management for SGBV survivors (Gender)","Case management for SGBV survivors (Nationality)","Like skills (Gender)","Focused PSS (Gender)","Socio Economic Empowerment (Nationality)","Direct provision of legal services (Age)","Socio Economic Empowerment (Gender)","Focused PSS (Nationality)","Engagement of men and boys","Awareness raising (Gender)","Case management for SGBV survivors (Age)","Like skills (Age)","Direct provision of legal services (Gender)","Awareness raising (Age)","Direct provision of MH (Gender)","Awareness raising (Nationality)","Direct provision of MH (Age)","Secured funding","Direct provision of legal services (Nationality)","Focused PSS (Age)","Support to NGO (refers to provision of capacity building, incentives or other forms of support to SDCs staff and structure to directly implement activities)","Referral to legal services","Socio Economic Empowerment (Age)","Direct provision of MH (Nationality)","Referral to MH","Like skills (Nationality)","W/G/M/B","Group (emotional support)","Individual PSS","Group (life skills)","Group (recreational activities)","Group (technical skills)","Legal awareness","Legal representation","Individual legal counselling","database.id","database"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0284186562",NA,"3.1.C: # of local organizations supported to provide quality services","Organization","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Medical Corps","p0000000670","IMC",NA,NA,"Independent","m1310589353","s0494139557","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0284186562",NA,"3.1.C: # of local organizations supported to provide quality services","Organization","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Rescue Committee","p0000000016","IRC",NA,NA,"UNICEF","m1302167479","s0889860038","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i1687480321",NA,"3.1.A_Female: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Rescue Committee","p0000000016","IRC",NA,NA,"UNICEF","m1302167479","s0889860038","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0059780248",NA,"3.1.A_Male: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Rescue Committee","p0000000016","IRC",NA,NA,"UNICEF","m1302167479","s0889860038","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i2134285615",NA,"3.1.A_Female: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Rescue Committee","p0000000016","IRC",NA,NA,"UNICEF","m1302167479","s0889860038","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i1687480321",NA,"3.1.A_Female: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0059780248",NA,"3.1.A_Male: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0693553227",NA,"3.1.C: # of MoSA SDCs supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0693553227",NA,"3.1.C: # of MoSA SDCs supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0059780248",NA,"3.1.A_Male: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0059780248",NA,"3.1.A_Male: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1667835951","s1229631691","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0284186562",NA,"3.1.C: # of local organizations supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1667835951","s1229631691","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0606691209",NA,"3.1.A_Male: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i2134285615",NA,"3.1.A_Female: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1667835951","s1229631691","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0284186562",NA,"3.1.C: # of local organizations supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.B","Targeted local organizations and SDCs are supported in terms of  infrastructures, staffing, equipement, materials, operational and structural capacities. Transfer of capacities is organized according to specific and comprehensive curricula, including tech","i1774241179",NA,"3.1.B: # of SGBV related policies, strategies, plans, guidance revised, developed, endorsed and operationalized","Tools","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i2134285615",NA,"3.1.A_Female: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.B","Targeted local organizations and SDCs are supported in terms of  infrastructures, staffing, equipement, materials, operational and structural capacities. Transfer of capacities is organized according to specific and comprehensive curricula, including tech","i1774241179",NA,"3.1.B: # of SGBV related policies, strategies, plans, guidance revised, developed, endorsed and operationalized","Tools","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0693553227",NA,"3.1.C: # of MoSA SDCs supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1667835951","s1229631691","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i0606691209",NA,"3.1.A_Male: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i2134285615",NA,"3.1.A_Female: # of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.A","# of participants with increased knowledge from institutional actors (result from the Tool-3 of the M&E framework)","i1687480321",NA,"3.1.A_Female: Total # of training participants from institutional actors (result from the Tool-3 of the M&E framework)","Persons","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m0586239786","s1229631691","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.1: Capacities of national systems and actors to address SGBV strengthened","OUTCOME 3: Reduce SGBV risks and improve access to quality services","Indicator: 3.1.C","# of local organizations and MoSA SDCs supported to provide quality services","i0284186562",NA,"3.1.C: # of local organizations supported to provide quality services","Organization","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p0000013589","AND",NA,NA,"UNICEF","m1303937699","s1229631691","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
