"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbcbo9w","LBN56","Trablous",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",109
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbd8pkx","LBN55","Miniyeh-Danniyeh",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",116
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbdyfzy","LBN57","Zgharta",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",31
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbenbqz","LBN53","Bcharreh",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbfbcl10","LBN54","Koura",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",42
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbg11g11","LBN52","Batroun",NA,NA,"UNHCR",4,"Nord","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",26
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljsm626","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",135
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljuhb47","LBN56","Trablous",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",103
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljvhzr8","LBN55","Miniyeh-Danniyeh",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",97
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljwjal9","LBN57","Zgharta",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",54
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljxq70a","LBN53","Bcharreh",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",6
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7ljyy36b","LBN54","Koura",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",53
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck7lk0aoxc","LBN52","Batroun",NA,NA,"UNHCR",4,"Nord","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",34
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lavm974","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",5
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lba3f86","LBN34","Jbayl",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",11
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbc9u17","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",6
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbdfu18","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",29
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbespp9","LBN35","Kesrouane",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",16
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvhpbn4","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",151
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvk1wb5","LBN56","Trablous",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",40
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvo1376","LBN55","Miniyeh-Danniyeh",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",20
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvq10s7","LBN57","Zgharta",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",16
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvr9to8","LBN53","Bcharreh",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvs79n9","LBN54","Koura",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",14
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8pvsvtna","LBN52","Batroun",NA,NA,"UNHCR",4,"Nord","2020-03","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",13
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9s9sno72","LBN31","Aaley",NA,NA,"UNHCR",5,"Mont Liban","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",102
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9s9yahp3","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",219
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9sa4udg2","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",75
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9sa5t0e3","LBN36","Metn",NA,NA,"UNHCR",5,"Mont Liban","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",16
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9sa6sio4","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",36
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9sad0nl7","LBN36","Metn",NA,NA,"UNHCR",5,"Mont Liban","2020-02","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",82
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9saebnm8","LBN36","Metn",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",3
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9saj36n9","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-02","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",14
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9sb1kea3","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-02","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",25
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","cka52me58x","LBN21","Baalbek",NA,NA,"Germany",3,"Baalbek_Hermel","2020-04","NRC","Norweigan Refugee Council",NA,"2020-03-31","LBFM1811","KFW","2019-07-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6t0quf46","LBN56","Trablous",NA,NA,"PRIVATE DONORS",4,"Nord","2020-01","ANERA","ANERA Lebanon",NA,"2020-02-29","NA","Winter Cash Assistance","2020-01-02","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lavm974","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lba3f86","LBN34","Jbayl",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbc9u17","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbdfu18","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbespp9","LBN35","Kesrouane",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck9s9yahp3","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-04","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i2021221243",NA,"1.1.1.1_PRS:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6t0quf46","LBN56","Trablous",NA,NA,"PRIVATE DONORS",4,"Nord","2020-01","ANERA","ANERA Lebanon",NA,"2020-02-29","NA","Winter Cash Assistance","2020-01-02","i0651707534",NA,"1.1.1.1_PRL:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lavm974","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i0651707534",NA,"1.1.1.1_PRL:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lba3f86","LBN34","Jbayl",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i0651707534",NA,"1.1.1.1_PRL:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbc9u17","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i0651707534",NA,"1.1.1.1_PRL:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","ck8lbdfu18","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-03","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i0651707534",NA,"1.1.1.1_PRL:# of affected households profiled (# HH Visits)",0
