"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Site Type","report.id","site.id","start_date","database.id","database"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0834774010",NA,"1.1.c_SYR_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-04-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0286909930","s0031346216","2019-04-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0001019298","Disability Indicator","1.1.c_Audio (Hearing): # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","3","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-11-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","i0801561396",NA,"1.1.e_PRL_Female: # of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","Individuals","4","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0990715232","s0031346216","2019-11-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","26","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-06-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1739244197",NA,"1.1.c_OTH_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0562999061","s0031346216","2019-06-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-10-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m2098711967","s0031346216","2019-10-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-07-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","4","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1124894322","s0031346216","2019-07-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0834774010",NA,"1.1.c_SYR_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","10","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0560184353",NA,"1.1.c_PRS_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","11","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","10","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i2123665144",NA,"1.1.c_SYR_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","12","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-11-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","3","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0990715232","s0031346216","2019-11-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","15","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-06-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","7","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0562999061","s0031346216","2019-06-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","29","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","i0801561396",NA,"1.1.e_PRL_Female: # of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","Individuals","15","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-12-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support 2019/2020","i0621731966",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support 2019/2020","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0242048059","s0031346216","2019-12-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-03-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","4","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m2034880569","s0031346216","2019-03-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0821062191","Disability Indicator","1.1.c_Visual (seeing): # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","4","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-08-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","4","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0290344501","s0031346216","2019-08-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0560184353",NA,"1.1.c_PRS_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","21","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-10-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i2123665144",NA,"1.1.c_SYR_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m2098711967","s0031346216","2019-10-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-06-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","6","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0562999061","s0031346216","2019-06-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-07-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1124894322","s0031346216","2019-07-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-10-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m2098711967","s0031346216","2019-10-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-07-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1124894322","s0031346216","2019-07-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1282829536","Disability Indicator","1.1.c_Speaking: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","3","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","18","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","i0801561396",NA,"1.1.e_PRL_Female: # of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","Individuals","8","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0613620615","s0181708244","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-08-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","14","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1770762614","s0181708244","2019-08-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0297234814",NA,"1.1.c_OTH_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1261892241","s0181708244","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-08-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0560184353",NA,"1.1.c_PRS_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","6","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1770762614","s0181708244","2019-08-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-10-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","6","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0940500542","s0181708244","2019-10-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-11-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","6","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1076102247","s0181708244","2019-11-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-12-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0779105582","s0181708244","2019-12-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","i1628040069",NA,"1.1.e_PRL_Male: # of ECD, primary and secondary facilitators/teachers who received training with funding provided by UNICEF","Individuals","4","Sour","62006","Sour","LBN63","Sud","8","LBN63131",33.24123611,35.21504444,"LOC: Rashidieh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0613620615","s0181708244","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
